85	16   0.5
84	32   0.5
40	27   0.5
18	16   0.5
53	65   0.5
76	2   0.5
97	99   0.5
4	66   0.5
38	92   0.5
45	72   0.5
17	28   0.5
14	58   0.5
34	18   0.5
45	33   0.5
71	51   0.5
76	24   0.5
91	20   0.5
12	99   0.5
29	48   0.5
86	21   0.5
4	17   0.5
9	22   0.5
32	70   0.5
48	26   0.5
90	89   0.5
2	56   0.5
42	7   0.5
35	32   0.5
97	79   0.5
14	4   0.5
47	57   0.5
23	62   0.5
79	11   0.5
37	25   0.5
22	43   0.5
23	81   0.5
4	47   0.5
76	27   0.5
59	54   0.5
85	1   0.5
57	37   0.5
5	81   0.5
4	19   0.5
80	21   0.5
33	94   0.5
49	43   0.5
87	73   0.5
84	15   0.5
73	20   0.5
54	19   0.5
47	96   0.5
2	54   0.5
30	48   0.5
77	18   0.5
75	53   0.5
79	70   0.5
59	7   0.5
31	23   0.5
47	61   0.5
19	89   0.5
27	28   0.5
80	88   0.5
83	99   0.5
93	59   0.5
74	99   0.5
74	84   0.5
15	55   0.5
48	12   0.5
90	78   0.5
62	26   0.5
85	21   0.5
43	29   0.5
44	64   0.5
89	57   0.5
76	80   0.5
42	18   0.5
41	52   0.5
26	62   0.5
70	4   0.5
63	12   0.5
70	97   0.5
15	99   0.5
86	37   0.5
84	1   0.5
63	79   0.5
81	8   0.5
80	9   0.5
59	32   0.5
92	55   0.5
89	28   0.5
27	67   0.5
7	27   0.5
63	77   0.5
49	57   0.5
66	59   0.5
64	63   0.5
29	33   0.5
78	81   0.5
73	8   0.5
63	40   0.5
97	65   0.5
60	92   0.5
51	36   0.5
90	28   0.5
60	58   0.5
96	14   0.5
71	5   0.5
74	32   0.5
66	14   0.5
97	89   0.5
58	85   0.5
55	2   0.5
57	74   0.5
52	47   0.5
7	22   0.5
63	58   0.5
43	21   0.5
76	46   0.5
61	97   0.5
13	14   0.5
84	30   0.5
74	83   0.5
91	95   0.5
67	97   0.5
92	26   0.5
